5.R String Id,5.2 String Id
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_RS1LAB_ACTUAL_AC_TO_DONOR_ALTERNATE
textDataLabelRs1PostHct,DCL_TEXT_RS1LAB_POST_HCT
textDataLabelRs1TbvProcessed,DCL_TEXT_RS1LAB_TOT_BLOOD_VOL_PROC
textEmptyFormatRs1DatTotAcUsed,DCL_TEXT_EMPTY
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_EMPTY
textEmptyFormatRs1DatEndOfRunTime,DCL_TEXT_EMPTY
textEmptyFormatRs1DatLengthOfRun,DCL_TEXT_EMPTY
textEmptyFormatRs1DatPostPltCount,DCL_TEXT_EMPTY
textEmptyFormatRs1DatAcToDonor,DCL_TEXT_EMPTY
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_EMPTY
textEmptyFormatRs1DatPostHct,DCL_TEXT_EMPTY
textEmptyFormatRs1DatTbvProcessed,DCL_TEXT_EMPTY
textDataUnitsRs1TimeAm,DCL_TEXT_UNITS_AM
textDataUnitsRs1MinLength,DCL_TEXT_UNITS_MIN
textDataUnitsRs1Percent,DCL_TEXT_UNITS_PCT
textStatEndOfRun,DCL_TEXT_STATLINE_END_OF_RUN
textButtonLongNextPage,DCL_TEXT_NEXT_PAGE_BTN
textMiscLabelRs2PltProd,DCL_TEXT_RS2LAB_PLATELET_PROD
textMiscLabelRs2PlasProd,DCL_TEXT_RS2LAB_PLASMA_PROD
textMiscLabelRs2RbcProd,DCL_TEXT_RS2LAB_RBC_PROD
textDataLabelRs2PltYield,DCL_TEXT_RS2LAB_YIELD_OF_PLATELETS
textDataLabelRs2PltAc,DCL_TEXT_RS2LAB_VOLUME_OF_PLATELET_AC
textDataLabelRs2PlasAc,DCL_TEXT_RS2LAB_VOLUME_OF_PLASMA_AC
textDataLabelRs2RbcAc,DCL_TEXT_RS2LAB_VOLUME_OF_RBC_AC
textEmptyFormatRs2DatPltVol,DCL_TEXT_EMPTY
textEmptyFormatRs2DatPltYield,DCL_TEXT_EMPTY
textEmptyFormatRs2DatPltAc,DCL_TEXT_EMPTY
textEmptyFormatRs2DatPlsVol,DCL_TEXT_EMPTY
textEmptyFormatRs2DatPlsAc,DCL_TEXT_EMPTY
textEmptyFormatRs2DatRbcVol,DCL_TEXT_EMPTY
textEmptyFormatRbcAc,DCL_TEXT_EMPTY
textDataUnitsRs2PltYield,DCL_TEXT_UNITS_10_to_11th
textDataUnitsRs2PltYieldExp,DCL_TEXT_UNITS_11TH_POWER
textCfgColLabelCfgPltYieldExponent,DCL_TEXT_UNITS_11TH_POWER
textMiscInstructionSealDetachProd,DCL_TEXT_SEAL_DETACH_PROD
textMiscInstructionDisconnectDonor,DCL_TEXT_DISCONNECT_DONOR
textMiscInstructionRemoveTubingSet,DCL_TEXT_REMOVE_TUBINGSET
textButtonLongDisconnectContinue,DCL_TEXT_DISCONN_FINISHED
textButtonLongDisconnectConfirm,DCL_TEXT_DISCONN_CONFIRM
textStatAcPriming,DCL_TEXT_AC_PRIMING
textKeypadUnitsExponentInit,DCL_TEXT_UNITS_EXPONENT_INIT
textStatReturnPumpStatusReturn,DCL_TEXT_RETURN_PUMP_STATUS_RETURN
textStatReturnPumpStatusDraw,DCL_TEXT_RETURN_PUMP_STATUS_DRAW
textStatBloodPrimeInProgress,DCL_TEXT_BLOOD_PRIME_IN_PROGRESS
textStatRinsebackInProgress,DCL_TEXT_BLOOD_RINSE_IN_PROGRESS
textStatApsLow,DCL_TEXT_ACCESS_PRESSURE_LOW
textStatOptInProgress,DCL_TEXT_OPTIMIZATION_IN_PROGRESS
textButtonGiantDonorVitalsHeight,DCL_TEXT_DONV_DONOR_HEIGHT_BTN
textButtonGiantDonorVitalsWeight,DCL_TEXT_DONV_DONOR_WEIGHT_BTN
textMiscDonorVitalsConfirm,DCL_TEXT_DONV_CONFIRM_TBV_BTN
textMiscUnitsDonorVitalsHeightInches,DCL_TEXT_DONV_HEIGHT_UNITS_IN_BTN
textMiscUnitsDonorVitalsHeightFeet,DCL_TEXT_DONV_HEIGHT_UNITS_FT_BTN
textMiscUnitsDonorVitalsHeightCm,DCL_TEXT_DONV_HEIGHT_UNITS_CM_BTN
textMiscUnitsDonorVitalsWeightLbs,DCL_TEXT_DONV_WEIGHT_UNITS_LBS_BTN
textMiscUnitsDonorVitalsWeightKg,DCL_TEXT_DONV_WEIGHT_UNITS_KG_BTN
textMiscLabelDonorVitalsTbv,DCL_TEXT_DONV_TBV_LABEL
textButtonGiantDonorInfoBloodType,DCL_TEXT_DONI_DONOR_BLOOD_TYPE_BTN
textButtonGiantDonorInfoCrit,DCL_TEXT_DONI_DONOR_HEMATOCRIT_BTN
textButtonGiantDonorInfoPltPrecount,DCL_TEXT_DONI_DONOR_PLATELET_PRECOUNT_BTN
textButtonLongConfirmDonorInfo,DCL_TEXT_DONI_CONFIRM_HCT_BTN
textMiscUnitsDonorInfoHematocrit,DCL_TEXT_DONI_HEMATOCRIT_UNITS_BTN
